FECHA_INSCRIPCION,FECHA_NACIMIENTO,GENERO,DESCRIPCION_SUBTIPO
02JUN2022:13:26:34,29JAN1985:00:00:00,Femenino,Adopción Simple
18APR2022:09:34:01,25DEC2014:00:00:00,Masculino,Adopción Plena
18APR2022:09:39:01,25JAN2016:00:00:00,Masculino,Adopción Plena
19APR2022:12:43:00,13SEP1995:00:00:00,Masculino,Adopción Plena
31MAY2022:10:35:05,18JUL2015:00:00:00,Femenino,Adopción Plena
31MAY2022:10:45:17,07APR2013:00:00:00,Masculino,Adopción Plena
19APR2022:13:01:36,04FEB2007:00:00:00,Masculino,Adopción Plena
03JUN2022:09:42:16,31MAY2019:00:00:00,Femenino,Adopción Plena
08JUN2022:10:31:24,20AUG2008:00:00:00,Femenino,Adopción Plena
22MAR2022:10:36:11,21JAN2003:00:00:00,Masculino,Adopción Plena
08NOV2021:14:13:19,09SEP1996:00:00:00,Masculino,Adopción Plena
08NOV2021:14:25:19,20MAY2011:00:00:00,Femenino,Adopción Plena
16DEC2021:09:24:25,15AUG1988:00:00:00,Masculino,Adopción Plena
16DEC2021:17:23:57,10NOV2010:00:00:00,Masculino,Adopción Plena
27DEC2021:09:07:02,16SEP2011:00:00:00,Masculino,Adopción Plena
28DEC2021:10:00:21,06SEP2011:00:00:00,Masculino,Adopción Plena
07DEC2021:11:25:51,27MAY2018:00:00:00,Masculino,Adopción Plena
12NOV2021:12:27:48,03FEB2016:00:00:00,Femenino,Adopción Plena
14FEB2022:09:48:03,29OCT2019:00:00:00,Masculino,Adopción Plena
08NOV2021:09:43:43,12OCT2010:00:00:00,Femenino,Adopción Plena
01FEB2022:23:33:31,12JUN2008:00:00:00,Masculino,Adopción Plena
13DEC2021:11:19:15,04AUG2020:00:00:00,Femenino,Adopción Plena
08NOV2021:13:47:04,25DEC1970:00:00:00,Femenino,Adopción Plena
25NOV2021:13:55:36,03OCT2014:00:00:00,Masculino,Adopción Plena
01DEC2021:12:13:50,17FEB2020:00:00:00,Femenino,Adopción Plena
11JAN2022:11:07:05,04NOV2003:00:00:00,Femenino,Adopción Plena
29NOV2021:17:20:56,19JUN2010:00:00:00,Femenino,Adopción Plena
21FEB2022:08:54:13,03DEC1982:00:00:00,Masculino,Adopción Plena
25OCT2021:17:06:42,15FEB1998:00:00:00,Femenino,Adopción Simple
27DEC2021:08:52:32,20JUL2010:00:00:00,Femenino,Adopción Plena
08NOV2021:09:47:21,17SEP2018:00:00:00,Masculino,Adopción Plena
29DEC2021:13:44:02,30AUG2006:00:00:00,Masculino,Adopción Plena
29DEC2021:14:02:07,07APR2020:00:00:00,Femenino,Adopción Plena
03JAN2022:12:34:44,03NOV2016:00:00:00,Masculino,Adopción Plena
08NOV2021:14:02:57,06MAY2006:00:00:00,Femenino,Adopción Plena
03JAN2022:12:51:54,04JUN1988:00:00:00,Femenino,Adopción Plena
08NOV2021:14:33:28,23DEC2018:00:00:00,Femenino,Adopción Plena
22DEC2021:15:14:20,26MAY2011:00:00:00,Femenino,Adopción Plena
16DEC2021:09:03:07,08JAN2019:00:00:00,Masculino,Adopción Plena
03FEB2022:11:12:25,06MAY2015:00:00:00,Femenino,Adopción Plena
26JAN2022:12:24:29,05JAN2006:00:00:00,Masculino,Adopción Simple
26JAN2022:13:19:58,29MAR2009:00:00:00,Femenino,Adopción Simple
26JAN2022:13:30:59,25APR2011:00:00:00,Masculino,Adopción Simple
07DEC2021:09:08:40,14OCT2010:00:00:00,Masculino,Adopción Plena
09FEB2022:12:44:12,13APR2007:00:00:00,Masculino,Adopción Plena
06DEC2021:10:19:30,10NOV2011:00:00:00,Masculino,Adopción Plena
03FEB2022:12:13:38,11AUG2012:00:00:00,Masculino,Adopción Plena
03FEB2022:12:21:33,31OCT2010:00:00:00,Masculino,Adopción Plena
22JAN2022:00:46:18,24AUG2010:00:00:00,Femenino,Adopción Plena
22JAN2022:00:49:46,17DEC2016:00:00:00,Masculino,Adopción Plena
01FEB2022:23:08:26,02AUG1994:00:00:00,Femenino,Adopción Plena
07DEC2021:11:36:02,21MAY2008:00:00:00,Femenino,Adopción Plena
10DEC2021:13:29:19,03MAR2018:00:00:00,Femenino,Adopción Plena
24JAN2022:20:13:48,03JAN2013:00:00:00,Masculino,Adopción Simple
12NOV2021:12:14:02,01OCT2011:00:00:00,Femenino,Adopción Plena
03FEB2022:10:59:35,22SEP2008:00:00:00,Masculino,Adopción Plena
03FEB2022:11:41:26,07OCT2014:00:00:00,Masculino,Adopción Plena
25NOV2021:13:39:48,08MAR2011:00:00:00,Masculino,Adopción Plena
01NOV2021:08:05:12,27FEB1959:00:00:00,Femenino,Adopción Plena
27OCT2021:14:30:29,12FEB2020:00:00:00,Masculino,Adopción Plena
05JAN2022:20:02:19,30OCT2004:00:00:00,Femenino,Adopción Plena
01DEC2021:11:51:30,12JUN2008:00:00:00,Masculino,Adopción Plena
15SEP2021:11:19:51,28AUG2016:00:00:00,Masculino,Adopción Plena
13AUG2021:10:50:46,14MAR2000:00:00:00,Femenino,Adopción Plena
30SEP2021:11:23:28,03OCT1996:00:00:00,Masculino,Adopción Plena
24AUG2021:13:00:15,12APR2006:00:00:00,Femenino,Adopción Simple
20OCT2021:08:38:37,10JAN1968:00:00:00,Femenino,Adopción Plena
13SEP2021:12:50:00,12JUL1996:00:00:00,Femenino,Adopción Plena
13JUL2021:13:42:43,03AUG2013:00:00:00,Masculino,Adopción Plena
05AUG2021:12:33:08,08DEC2015:00:00:00,Masculino,Adopción Plena
01JUL2021:12:05:14,03JUN2018:00:00:00,Masculino,Adopción Plena
30AUG2021:10:50:33,20AUG1970:00:00:00,Femenino,Adopción Plena
28JUN2021:10:09:15,27DEC2017:00:00:00,Femenino,Adopción Plena
16JUL2021:13:05:26,01JAN2017:00:00:00,Masculino,Adopción Plena
06AUG2021:12:47:31,01AUG2013:00:00:00,Masculino,Adopción Plena
19JUL2021:10:29:43,08NOV2010:00:00:00,Femenino,Adopción Plena
04NOV2021:09:58:31,07FEB2010:00:00:00,Femenino,Adopción Plena
10FEB2022:14:24:10,20MAY2014:00:00:00,Masculino,Adopción Plena
17DEC2021:13:51:16,23JUN1991:00:00:00,Masculino,Adopción Plena
18NOV2021:13:38:32,28DEC2017:00:00:00,Femenino,Adopción Plena
13FEB2022:22:19:55,12DEC2005:00:00:00,Masculino,Adopción Plena
09FEB2022:13:49:50,25JAN2010:00:00:00,Femenino,Adopción Plena
14DEC2021:14:46:33,26FEB2020:00:00:00,Masculino,Adopción Plena
14DEC2021:15:01:49,06OCT1993:00:00:00,Femenino,Adopción Plena
04NOV2021:09:47:20,07FEB2010:00:00:00,Femenino,Adopción Plena
14DEC2021:16:15:19,19OCT2007:00:00:00,Femenino,Adopción Plena
03SEP2021:09:11:18,19SEP2002:00:00:00,Femenino,Adopción Plena
21SEP2021:14:39:45,03JAN1997:00:00:00,Femenino,Adopción Simple
23SEP2021:10:26:41,02APR2018:00:00:00,Femenino,Adopción Plena
29JUN2021:11:08:47,27MAR2019:00:00:00,Femenino,Adopción Plena
03SEP2021:13:28:47,26NOV2008:00:00:00,Femenino,Adopción Plena
06SEP2021:10:17:21,05OCT2014:00:00:00,Masculino,Adopción Plena
03AUG2021:10:40:49,09APR1989:00:00:00,Masculino,Adopción Simple
13JUL2021:12:48:04,14APR2012:00:00:00,Femenino,Adopción Plena
28JUN2021:10:01:11,01MAR2013:00:00:00,Masculino,Adopción Plena
24JUN2021:09:09:56,05NOV2016:00:00:00,Masculino,Adopción Plena
01SEP2021:14:03:31,10DEC2006:00:00:00,Masculino,Adopción Plena
14SEP2021:12:16:20,15OCT2004:00:00:00,Masculino,Adopción Plena
09SEP2021:12:17:30,29JAN2020:00:00:00,Masculino,Adopción Plena
09SEP2021:12:37:11,12DEC2018:00:00:00,Masculino,Adopción Plena
25AUG2021:11:58:19,02JAN2011:00:00:00,Femenino,Adopción Plena
25AUG2021:12:25:27,12JUL2018:00:00:00,Femenino,Adopción Plena
13OCT2021:10:26:56,04DEC2018:00:00:00,Masculino,Adopción Plena
13OCT2021:12:23:51,19SEP2000:00:00:00,Masculino,Adopción Plena
26AUG2021:16:39:10,03MAY2008:00:00:00,Masculino,Adopción Plena
02JUL2021:11:24:42,12OCT2012:00:00:00,Femenino,Adopción Plena
27AUG2021:13:51:24,19JAN2015:00:00:00,Femenino,Adopción Plena
28SEP2021:10:16:40,31MAY2011:00:00:00,Femenino,Adopción Plena
19JUL2021:11:10:40,31MAR2014:00:00:00,Femenino,Adopción Plena
01SEP2021:15:38:21,18DEC2018:00:00:00,Masculino,Adopción Plena
28JUN2021:12:09:11,13FEB2009:00:00:00,Femenino,Adopción Plena
22SEP2021:12:47:54,03JUN1976:00:00:00,Masculino,Adopción Plena
21JUL2021:10:14:37,01APR2019:00:00:00,Femenino,Adopción Plena
24AUG2021:12:01:34,31AUG2014:00:00:00,Femenino,Adopción Plena
09SEP2021:12:12:16,03FEB1984:00:00:00,Femenino,Adopción Simple
03AUG2021:11:04:38,11NOV1991:00:00:00,Masculino,Adopción Simple
10SEP2021:12:53:01,27MAY2010:00:00:00,Femenino,Adopción Plena
13JUL2021:15:35:26,26JAN1992:00:00:00,Femenino,Adopción Simple
01SEP2021:16:40:24,25JAN2018:00:00:00,Masculino,Adopción Plena
06SEP2021:10:06:05,10OCT2015:00:00:00,Masculino,Adopción Plena
30AUG2021:11:35:11,24JUN2014:00:00:00,Femenino,Adopción Plena
28JUN2021:09:48:28,27OCT2008:00:00:00,Femenino,Adopción Plena
01JUL2021:11:55:25,03JUN2018:00:00:00,Femenino,Adopción Plena
06SEP2021:12:41:28,24OCT2003:00:00:00,Masculino,Adopción Simple
13JUL2021:14:00:35,16DEC2010:00:00:00,Femenino,Adopción Plena
31AUG2021:09:19:14,10MAR1995:00:00:00,Femenino,Adopción Simple
24AUG2021:12:14:54,17MAR2020:00:00:00,Masculino,Adopción Plena
19JUL2021:10:20:26,31JAN2011:00:00:00,Masculino,Adopción Plena
23AUG2021:10:02:58,29JUL2014:00:00:00,Masculino,Adopción Plena
15OCT2021:14:34:21,27FEB2017:00:00:00,Masculino,Adopción Plena
25AUG2021:11:48:11,10NOV2015:00:00:00,Femenino,Adopción Plena
25AUG2021:12:13:28,05MAY2012:00:00:00,Femenino,Adopción Plena
05OCT2021:09:22:31,24JAN2005:00:00:00,Masculino,Adopción Simple
